Sequence_12557,Psychrolutidae_from_15Cottales
Sequence_12050,Psychrolutidae_from_15Cottales
Sequence_11214,Myoxocephalus_from_16Cottidae
Sequence_9287,Myoxocephalus_from_16Cottidae
Sequence_9984,Myoxocephalus_from_16Cottidae
Sequence_9998,Amphibia_from_6Euteleostomi
Sequence_4001,Amphibia_from_6Euteleostomi
Sequence_15062,Amphibia_from_6Euteleostomi
Sequence_6076,Amphibia_from_6Euteleostomi
Sequence_163,Amphibia_from_6Euteleostomi
Sequence_5258,Amphibia_from_6Euteleostomi
Sequence_8878,Amphibia_from_6Euteleostomi
Sequence_3098,Amphibia_from_6Euteleostomi
Sequence_4962,Amphibia_from_6Euteleostomi
Sequence_9800,Amphibia_from_6Euteleostomi
Sequence_2906,Amphibia_from_6Euteleostomi
Sequence_4084,Amphibia_from_6Euteleostomi
Sequence_9537,Amphibia_from_6Euteleostomi
Sequence_4079,Amphibia_from_6Euteleostomi
Sequence_537,Amphibia_from_6Euteleostomi
Sequence_12732,Amphibia_from_6Euteleostomi
Sequence_513,Amphibia_from_6Euteleostomi
Sequence_612,Amphibia_from_6Euteleostomi
Sequence_819,Amphibia_from_6Euteleostomi
Sequence_3537,Amphibia_from_6Euteleostomi
Sequence_7813,Amphibia_from_6Euteleostomi
Sequence_100,Amphibia_from_6Euteleostomi
Sequence_8489,Amphibia_from_6Euteleostomi
Sequence_775,Amphibia_from_6Euteleostomi
Sequence_364,Amphibia_from_6Euteleostomi
Sequence_9321,Amphibia_from_6Euteleostomi
Sequence_2126,Amphibia_from_6Euteleostomi
Sequence_1215,Amphibia_from_6Euteleostomi
Sequence_554,Amphibia_from_6Euteleostomi
Sequence_3262,Amphibia_from_6Euteleostomi
Sequence_1151,Amphibia_from_6Euteleostomi
Sequence_9802,Amphibia_from_6Euteleostomi
Sequence_8490,Amphibia_from_6Euteleostomi
Sequence_7578,Amphibia_from_6Euteleostomi
Sequence_12714,Amphibia_from_6Euteleostomi
Sequence_535,Amphibia_from_6Euteleostomi
Sequence_4086,Amphibia_from_6Euteleostomi
Sequence_4412,Amphibia_from_6Euteleostomi
Sequence_4805,Amphibia_from_6Euteleostomi
Sequence_10372,Amphibia_from_6Euteleostomi
Sequence_6601,Amphibia_from_6Euteleostomi
Sequence_14650,Amphibia_from_6Euteleostomi
Sequence_8751,Amphibia_from_6Euteleostomi
Sequence_4082,Amphibia_from_6Euteleostomi
Sequence_589,Amphibia_from_6Euteleostomi
Sequence_11687,Amphibia_from_6Euteleostomi
Sequence_531,Amphibia_from_6Euteleostomi
